iter	RMSE
0	5807.097543
1	5748.154068
2	5702.357136
3	5656.53401
4	5616.329567
5	5579.301171
6	5557.037124
7	5521.851589
8	5494.012014
9	5479.719896
10	5458.192543
11	5441.298878
12	5427.925536
13	5410.861402
14	5398.250101
15	5385.534265
16	5363.524302
17	5352.876282
18	5338.89434
19	5324.871086
20	5319.945079
21	5311.523711
22	5306.72288
23	5266.750413
24	5260.918278
25	5259.899085
26	5258.045106
27	5210.784613
28	5209.173277
29	5199.595298
30	5182.710096
31	5175.561259
32	5169.180004
33	5163.94844
34	5162.883746
35	5133.562978
36	5130.043572
37	5122.655936
38	5117.325621
39	5114.991962
40	5106.693812
41	5106.646187
42	5103.065533
43	5101.787251
44	5098.64828
45	5093.574487
46	5093.355614
47	5091.756118
48	5091.262279
49	5088.016484
50	5087.699447
51	5086.050301
52	5085.973176
53	5082.540499
54	5079.395516
55	5072.231648
56	5069.493626
57	5064.053236
58	5053.761749
59	5047.92331
60	5047.113505
61	5045.785162
62	5042.50409
63	5041.596775
64	5037.701204
65	5035.219884
66	5034.905977
67	5034.461579
68	5034.285435
69	5029.721202
70	5027.643764
71	5023.33728
72	5023.310113
73	5020.837656
74	5020.836784
75	5016.462291
76	5013.093941
77	5006.871465
78	5003.634618
79	5003.267599
80	5000.474843
81	4997.214334
82	4995.350863
83	4994.261578
84	4992.822565
85	4990.92841
86	4987.217762
87	4985.242439
88	4985.175266
89	4981.405767
90	4981.353392
91	4980.39261
92	4978.189405
93	4978.18737
94	4958.840577
95	4957.458343
96	4957.447933
97	4957.309516
98	4957.003669
99	4955.854725
100	4955.786579
101	4934.850994
102	4934.197881
103	4930.421135
104	4864.997337
105	4864.15061
106	4863.268703
107	4863.265258
108	4863.180059
109	4856.172413
110	4855.716772
111	4836.353751
112	4836.351622
113	4835.222705
114	4834.618302
115	4833.786364
116	4833.738529
117	4833.41408
118	4830.381485
119	4828.286811
120	4826.855729
121	4825.508276
122	4822.848377
123	4819.705304
124	4818.774515
125	4816.315619
126	4811.142009
127	4809.947714
128	4809.900756
129	4807.65066
130	4807.156404
131	4807.006878
132	4804.348396
133	4804.115637
134	4801.425343
135	4798.087573
136	4796.91203
137	4794.242916
138	4794.214503
139	4794.018778
140	4792.526096
141	4792.262171
142	4791.274962
143	4790.904938
144	4788.552769
145	4788.423392
146	4788.279412
147	4788.116958
148	4788.009099
149	4787.941696
150	4787.892369
151	4787.490239
152	4780.564688
153	4780.536136
154	4780.344887
155	4780.232043
156	4777.711775
157	4777.655886
158	4777.381217
159	4776.309622
160	4775.894451
161	4773.208689
162	4772.963563
163	4770.58669
164	4770.25652
165	4765.922082
166	4763.34145
167	4760.545957
168	4758.854027
169	4756.571102
170	4730.590545
171	4729.160815
172	4726.707422
173	4726.489132
174	4725.402109
175	4725.368946
176	4654.761412
177	4653.166164
178	4651.325431
179	4650.284091
180	4650.007186
181	4647.411585
182	4579.132747
183	4578.828679
184	4578.745561
185	4577.507035
186	4575.776679
187	4513.903903
188	4454.13815
189	4452.056586
190	4443.305901
191	4440.813196
192	4437.672332
193	4437.629182
194	4433.487116
195	4433.452695
196	4430.276057
197	4428.695792
198	4428.087166
199	4427.200595
200	4426.90549
201	4425.872099
202	4425.840949
203	4425.014445
204	4424.988469
205	4423.932673
206	4423.7596
207	4423.050962
208	4421.504247
209	4419.996667
210	4418.01427
211	4416.074353
212	4413.812517
213	4412.766197
214	4408.223557
215	4406.224248
216	4403.758612
217	4403.723679
218	4402.391084
219	4401.929489
220	4399.244722
221	4399.221061
222	4380.75705
223	4380.499197
224	4328.196807
225	4327.138395
226	4323.970075
227	4320.615167
228	4299.756621
229	4298.858791
230	4296.714493
231	4296.424133
232	4280.069617
233	4279.171976
234	4279.151955
235	4278.320234
236	4276.821523
237	4276.644069
238	4276.13502
239	4265.131527
240	4265.081063
241	4214.100246
242	4213.145702
243	4213.122865
244	4212.78525
245	4212.210595
246	4208.514033
247	4207.701118
248	4206.975458
249	4204.424254
250	4201.71072
251	4201.122782
252	4200.737933
253	4198.724248
254	4195.679254
255	4194.992801
256	4194.626561
257	4181.636291
258	4180.357824
259	4178.77259
260	4175.891565
261	4175.817358
262	4174.46915
263	4174.296211
264	4172.299257
265	4170.364524
266	4167.918052
267	4166.107213
268	4164.653929
269	4164.100121
270	4163.867322
271	4163.585554
272	4163.395074
273	4149.104705
274	4148.281937
275	4148.075283
276	4144.965562
277	4143.383411
278	4142.918743
279	4142.737862
280	4140.183054
281	4137.602875
282	4137.315839
283	4134.786428
284	4132.12218
285	4131.965704
286	4129.638542
287	4128.663794
288	4128.472625
289	4128.297002
290	4128.141987
291	4127.432232
292	4127.082692
293	4122.10285
294	4121.966031
295	4119.795371
296	4119.609555
297	4119.488448
298	4079.29633
299	4079.269784
300	4075.588025
301	4073.34913
302	4073.212767
303	4073.020516
304	4070.801431
305	4069.358641
306	4068.830487
307	4067.311775
308	4063.007502
309	4061.313467
310	4061.191055
311	4056.05557
312	4054.411066
313	4054.297663
314	4053.754606
315	4052.155942
316	4052.119349
317	4051.951481
318	4051.51593
319	4051.201115
320	4048.940847
321	4040.501494
322	4039.84746
323	4038.082524
324	4037.434988
325	4036.903178
326	4036.376084
327	4034.378298
328	4031.025788
329	4029.853689
330	4029.642452
331	4029.138557
332	4028.241158
333	4026.271591
334	4026.245982
335	4024.807013
336	4024.77848
337	4024.485066
338	4022.411731
339	4020.649796
340	3977.460062
341	3975.585306
342	3975.029873
343	3974.251109
344	3973.484028
345	3972.887458
346	3971.206759
347	3970.563629
348	3969.767777
349	3966.699235
350	3966.619166
351	3966.464415
352	3966.213739
353	3966.166727
354	3965.239939
355	3964.472814
356	3964.448733
357	3961.429874
358	3952.019192
359	3951.829728
360	3950.493459
361	3927.412641
362	3927.025462
363	3926.657288
364	3926.111101
365	3925.638094
366	3925.610041
367	3924.675132
368	3923.050955
369	3921.992298
370	3921.961909
371	3921.54973
372	3921.386447
373	3920.746206
374	3920.126084
375	3919.768434
376	3918.471292
377	3917.876335
378	3917.542735
379	3916.352594
380	3915.334453
381	3915.015032
382	3914.683712
383	3914.63326
384	3914.105668
385	3913.445039
386	3912.70407
387	3911.718457
388	3900.632214
389	3900.373641
390	3894.488333
391	3893.978988
392	3892.884967
393	3890.543597
394	3889.869521
395	3888.939423
396	3887.591689
397	3887.347207
398	3887.15322
399	3879.604558
400	3879.498166
401	3878.239626
402	3874.18337
403	3871.714494
404	3870.820591
405	3868.232295
406	3865.921854
407	3861.301453
408	3855.303278
409	3846.226878
410	3827.06042
411	3826.950171
412	3826.737672
413	3826.542031
414	3818.253185
415	3818.111436
416	3814.267042
417	3812.582103
418	3808.989485
419	3808.1819
420	3808.073467
421	3806.858994
422	3805.811062
423	3804.303221
424	3804.206851
425	3786.480126
426	3777.159458
427	3776.039409
428	3775.718381
429	3768.093662
430	3767.409757
431	3767.375679
432	3765.793829
433	3765.356059
434	3764.536899
435	3763.270558
436	3762.276106
437	3758.656083
438	3757.038315
439	3756.421
440	3755.229516
441	3754.676342
442	3753.659221
443	3743.67814
444	3743.617645
445	3741.247553
446	3738.157063
447	3737.798967
448	3735.809312
449	3734.141174
450	3732.741303
451	3732.541478
452	3732.273865
453	3731.012166
454	3730.640757
455	3728.983257
456	3727.803234
457	3727.228817
458	3725.720063
459	3724.726416
460	3723.889557
461	3723.183683
462	3722.587293
463	3722.082468
464	3688.254795
465	3656.943492
466	3656.507745
467	3656.137334
468	3655.556722
469	3654.835158
470	3654.770299
471	3654.456472
472	3654.188568
473	3653.468813
474	3653.028477
475	3652.696424
476	3652.428872
477	3651.71818
478	3651.519491
479	3651.319649
480	3650.947034
481	3650.455995
482	3648.8442
483	3648.548451
484	3640.356888
485	3640.261245
486	3639.307184
487	3638.362188
488	3637.970972
489	3634.392846
490	3634.083816
491	3633.29702
492	3631.559277
493	3624.081078
494	3623.397793
495	3622.905511
496	3622.356389
497	3622.009595
498	3620.993792
499	3620.187863
500	3619.784908
501	3619.146878
502	3618.941761
503	3618.639675
504	3615.667557
505	3615.562232
506	3614.22249
507	3614.099615
508	3613.331084
509	3612.128361
510	3611.476077
511	3611.367588
512	3611.310164
513	3611.151623
514	3610.394848
515	3609.830952
516	3607.726116
517	3606.360364
518	3605.695517
519	3605.534581
520	3605.366124
521	3604.607769
522	3604.530611
523	3603.031112
524	3602.718113
525	3602.681801
526	3602.146117
527	3601.567195
528	3600.85438
529	3599.875144
530	3599.774113
531	3598.33996
532	3598.196472
533	3598.022785
534	3597.37717
535	3596.882027
536	3596.595708
537	3595.117847
538	3594.874794
539	3594.752485
540	3594.668176
541	3594.513724
542	3593.646241
543	3593.379685
544	3592.737185
545	3591.795555
546	3591.107721
547	3588.200561
548	3587.690902
549	3585.614414
550	3585.568743
551	3584.801847
552	3582.985259
553	3582.677685
554	3582.182176
555	3581.530021
556	3581.453428
557	3563.315409
558	3563.143722
559	3562.748836
560	3562.276414
561	3561.577238
562	3561.421118
563	3560.673403
564	3560.234978
565	3560.169955
566	3559.523687
567	3559.18456
568	3558.734658
569	3558.571692
570	3558.27289
571	3557.137599
572	3556.535189
573	3556.38896
574	3555.251686
575	3554.755059
576	3553.747228
577	3553.066803
578	3552.883048
579	3552.748513
580	3552.164101
581	3551.957486
582	3551.78369
583	3551.098443
584	3528.267159
585	3527.922394
586	3527.451858
587	3526.876597
588	3526.25514
589	3526.092088
590	3525.384525
591	3524.945204
592	3524.794196
593	3523.933802
594	3523.632016
595	3522.023703
596	3520.494027
597	3519.754642
598	3519.719203
599	3519.560161
600	3519.203336
601	3519.150679
602	3518.035956
603	3517.102961
604	3515.532856
605	3515.080178
606	3514.330374
607	3513.765449
608	3512.882153
609	3512.830317
610	3512.207638
611	3511.574038
612	3511.271251
613	3511.20949
614	3510.91726
615	3510.517578
616	3508.869448
617	3508.224528
618	3507.121165
619	3506.806709
620	3505.869957
621	3504.191594
622	3497.787152
623	3497.641828
624	3497.53896
625	3496.674792
626	3495.641173
627	3495.236312
