iter	Passed	Remaining
0	94	94011
1	183	91419
2	277	92370
3	368	91845
4	459	91405
5	552	91608
6	629	89321
7	731	90754
8	823	90693
9	958	94912
10	1087	97740
11	1207	99403
12	1328	100870
13	1470	103580
14	1576	103544
15	1694	104190
16	1800	104098
17	1900	103683
18	1983	102394
19	2100	102930
20	2235	104220
21	2330	103587
22	2478	105285
23	2623	106704
24	2743	106978
25	2833	106153
26	2930	105612
27	3025	105040
28	3148	105417
29	3328	107629
30	3477	108713
31	3581	108340
32	3674	107685
33	3797	107904
34	3869	106698
35	3965	106188
36	4078	106138
37	4167	105491
38	4267	105158
39	4465	107165
40	4558	106636
41	4662	106359
42	4753	105783
43	4862	105644
44	5011	106356
45	5140	106609
46	5226	105980
47	5304	105202
48	5387	104560
49	5481	104151
50	5549	103268
51	5655	103102
52	5730	102399
53	5824	102032
54	5919	101704
55	6017	101439
56	6115	101176
57	6217	100973
58	6318	100774
59	6408	100404
60	6482	99792
61	6631	100325
62	6727	100061
63	6823	99793
64	6910	99408
65	7009	99194
66	7113	99051
67	7202	98719
68	7257	97919
69	7338	97498
70	7434	97276
71	7520	96931
72	7586	96332
73	7677	96070
74	7711	95114
75	7804	94888
76	7888	94563
77	7998	94545
78	8090	94323
79	8152	93749
80	8247	93574
81	8332	93285
82	8431	93156
83	8511	92815
84	8573	92294
85	8645	91883
86	8729	91610
87	8785	91049
88	8856	90653
89	8924	90239
90	8998	89886
91	9069	89512
92	9142	89160
93	9173	88414
94	9244	88062
95	9316	87734
96	9347	87015
97	9411	86626
98	9482	86304
99	9604	86438
100	9682	86185
101	9744	85786
102	9856	85840
103	9947	85702
104	10026	85461
105	10099	85178
106	10183	84988
107	10239	84571
108	10302	84213
109	10382	84003
110	10493	84039
111	10586	83931
112	10620	83368
113	10766	83673
114	10912	83977
115	10996	83799
116	11056	83446
117	11132	83212
118	11211	83006
119	11283	82745
120	11399	82812
121	11474	82575
122	11531	82220
123	11599	81941
124	11707	81953
125	11777	81692
126	11867	81575
127	11929	81270
128	11996	80997
129	12107	81028
130	12173	80756
131	12244	80519
132	12331	80388
133	12443	80415
134	12515	80193
135	12580	79925
136	12692	79956
137	12763	79727
138	12833	79496
139	12937	79472
140	13022	79336
141	13087	79078
142	13152	78822
143	13223	78606
144	13295	78395
145	13365	78180
146	13438	77978
147	13547	77987
148	13617	77773
149	13726	77784
150	13792	77547
151	13863	77344
152	13952	77242
153	14022	77030
154	14095	76844
155	14166	76642
156	14239	76458
157	14352	76487
158	14423	76291
159	14489	76071
160	14556	75856
161	14625	75654
162	14694	75456
163	14761	75246
164	14830	75051
165	14926	74994
166	14999	74816
167	15063	74601
168	15128	74391
169	15213	74276
170	15291	74132
171	15360	73946
172	15458	73897
173	15523	73690
174	15607	73578
175	15673	73382
176	15751	73242
177	15827	73089
178	15900	72931
179	15982	72810
180	16061	72674
181	16140	72545
182	16229	72454
183	16319	72371
184	16393	72218
185	16480	72124
186	16553	71966
187	16631	71832
188	16722	71754
189	16807	71650
190	16887	71529
191	16987	71487
192	17070	71376
193	17188	71413
194	17273	71306
195	17424	71475
196	17520	71414
197	17602	71301
198	17681	71171
199	17765	71062
200	17847	70946
201	17918	70785
202	18057	70896
203	18149	70820
204	18299	70965
205	18445	71096
206	18522	70956
207	18611	70868
208	18694	70751
209	18785	70669
210	18893	70649
211	18990	70588
212	19105	70590
213	19176	70432
214	19260	70324
215	19359	70268
216	19462	70227
217	19542	70101
218	19634	70021
219	19727	69942
220	19823	69876
221	19901	69746
222	19990	69654
223	20083	69575
224	20175	69492
225	20262	69394
226	20385	69417
227	20485	69363
228	20571	69260
229	20672	69208
230	20754	69093
231	20835	68973
232	20938	68927
233	21043	68885
234	21122	68761
235	21203	68642
236	21283	68519
237	21366	68408
238	21440	68268
239	21569	68302
240	21647	68175
241	21758	68151
242	21840	68039
243	21919	67916
244	22012	67835
245	22097	67731
246	22207	67701
247	22356	67790
248	22575	68090
249	22696	68090
250	22795	68022
251	22890	67943
252	23000	67911
253	23112	67881
254	23235	67884
255	23341	67837
256	23439	67765
257	23539	67700
258	23624	67589
259	23704	67466
260	23790	67359
261	23863	67217
262	23957	67135
263	24038	67016
264	24110	66871
265	24207	66798
266	24291	66689
267	24382	66596
268	24472	66502
269	24555	66390
270	24638	66278
271	24725	66176
272	24834	66135
273	24937	66075
274	25023	65970
275	25113	65877
276	25205	65788
277	25275	65642
278	25352	65516
279	25421	65368
280	25494	65232
281	25558	65074
282	25632	64941
283	25716	64835
284	25798	64721
285	25886	64625
286	25958	64488
287	26030	64354
288	26101	64214
289	26171	64075
290	26240	63931
291	26318	63812
292	26389	63676
293	26469	63563
294	26538	63422
295	26634	63347
296	26711	63227
297	26778	63083
298	26858	62968
299	26929	62834
300	27011	62728
301	27078	62585
302	27147	62448
303	27216	62310
304	27289	62184
305	27378	62092
306	27456	61977
307	27532	61858
308	27615	61755
309	27702	61659
310	27781	61547
311	27918	61563
312	27997	61451
313	28076	61339
314	28163	61245
315	28247	61143
316	28326	61031
317	28442	61000
318	28515	60874
319	28602	60780
320	28686	60680
321	28788	60616
322	28874	60520
323	28958	60419
324	29054	60343
325	29126	60217
326	29263	60227
327	29364	60162
328	29482	60130
329	29585	60066
330	29658	59944
331	29740	59839
332	29829	59749
333	29912	59645
334	29990	59532
335	30116	59515
336	30187	59389
337	30266	59280
338	30390	59256
339	30478	59163
340	30593	59123
341	30691	59050
342	30778	58954
343	30859	58848
344	30961	58781
345	31057	58704
346	31158	58634
347	31315	58671
348	31437	58642
349	31542	58578
350	31620	58466
351	31700	58357
352	31863	58401
353	31947	58299
354	32038	58211
355	32147	58154
356	32220	58033
357	32332	57982
358	32424	57893
359	32509	57794
360	32597	57699
361	32696	57624
362	32798	57555
363	32877	57445
364	33026	57456
365	33169	57457
366	33249	57349
367	33329	57239
368	33437	57179
369	33526	57086
370	33602	56969
371	33745	56968
372	33826	56860
373	33914	56765
374	34031	56719
375	34174	56715
376	34256	56610
377	34377	56567
378	34465	56472
379	34556	56381
380	34633	56267
381	34759	56233
382	34831	56113
383	34898	55982
384	34987	55888
385	35062	55772
386	35145	55670
387	35234	55576
388	35360	55541
389	35501	55528
390	35576	55412
391	35657	55304
392	35741	55204
393	35836	55119
394	35929	55031
395	36015	54933
396	36118	54860
397	36282	54878
398	36382	54802
399	36462	54693
400	36542	54586
401	36648	54517
402	36748	54439
403	36864	54384
404	36953	54289
405	37061	54223
406	37186	54180
407	37317	54147
408	37485	54166
409	37590	54094
410	37738	54083
411	37814	53968
412	37897	53864
413	38009	53801
414	38107	53718
415	38226	53663
416	38359	53629
417	38512	53622
418	38664	53613
419	38751	53513
420	38830	53403
421	38904	53285
422	38982	53175
423	39074	53082
424	39150	52968
425	39230	52860
426	39329	52776
427	39430	52696
428	39495	52568
429	39579	52465
430	39687	52394
431	39763	52281
432	39842	52171
433	39914	52054
434	39995	51948
435	40066	51828
436	40142	51716
437	40267	51667
438	40365	51583
439	40481	51521
440	40558	51411
441	40688	51366
442	40767	51258
443	40893	51208
444	40971	51099
445	41146	51110
446	41284	51074
447	41366	50969
448	41517	50948
449	41642	50895
450	41798	50880
451	41882	50778
452	41968	50676
453	42091	50621
454	42181	50524
455	42299	50462
456	42459	50449
457	42541	50344
458	42623	50237
459	42781	50221
460	42929	50192
461	43091	50180
462	43262	50176
463	43419	50156
464	43522	50074
465	43625	49991
466	43774	49961
467	43926	49933
468	44050	49873
469	44156	49793
470	44242	49690
471	44388	49654
472	44540	49625
473	44688	49591
474	44777	49491
475	44882	49408
476	45040	49384
477	45161	49318
478	45245	49212
479	45368	49148
480	45446	49037
481	45517	48917
482	45594	48804
483	45677	48696
484	45792	48625
485	45872	48514
486	45959	48412
487	46041	48305
488	46156	48232
489	46242	48129
490	46318	48016
491	46394	47903
492	46478	47798
493	46587	47719
494	46685	47629
495	46771	47525
496	46885	47451
497	46965	47342
498	47048	47237
499	47140	47140
500	47217	47028
501	47302	46925
502	47454	46888
503	47530	46775
504	47649	46706
505	47722	46590
506	47813	46493
507	47909	46400
508	48005	46307
509	48100	46214
510	48189	46115
511	48269	46007
512	48351	45901
513	48437	45798
514	48514	45688
515	48633	45617
516	48736	45531
517	48906	45507
518	48983	45397
519	49071	45297
520	49229	45260
521	49320	45163
522	49400	45055
523	49485	44952
524	49603	44879
525	49681	44769
526	49769	44670
527	49849	44562
528	49936	44461
529	50024	44361
530	50121	44269
531	50194	44156
532	50277	44051
533	50417	43997
534	50536	43924
535	50625	43825
536	50730	43740
537	50827	43647
538	50929	43559
539	51019	43461
540	51113	43366
541	51202	43267
542	51331	43201
543	51417	43099
544	51509	43003
545	51574	42884
546	51654	42777
547	51768	42699
548	51880	42619
549	52003	42548
550	52089	42447
551	52185	42353
552	52380	42339
553	52511	42274
554	52606	42180
555	52695	42080
556	52780	41977
557	52876	41884
558	52979	41795
559	53094	41717
560	53180	41615
561	53273	41519
562	53398	41448
563	53510	41366
564	53656	41311
565	53756	41219
566	53845	41120
567	53932	41018
568	54019	40918
569	54134	40838
570	54234	40746
571	54329	40652
572	54418	40552
573	54499	40447
574	54579	40341
575	54656	40233
576	54752	40139
577	54829	40031
578	54914	39929
579	54999	39827
580	55100	39736
581	55174	39627
582	55260	39526
583	55357	39433
584	55452	39337
585	55542	39239
586	55674	39171
587	55764	39072
588	55846	38969
589	55952	38882
590	56044	38785
591	56125	38681
592	56251	38608
593	56324	38498
594	56397	38388
595	56465	38275
596	56558	38179
597	56710	38123
598	56781	38012
599	56868	37912
600	56939	37801
601	57021	37698
602	57105	37596
603	57194	37498
604	57317	37422
605	57428	37338
606	57518	37239
607	57641	37163
608	57720	37058
609	57811	36961
610	57903	36864
611	58008	36776
612	58128	36697
613	58217	36599
614	58298	36495
615	58407	36409
616	58478	36300
617	58604	36225
618	58691	36124
619	58763	36016
620	58864	35925
621	58975	35840
622	59111	35770
623	59231	35690
624	59318	35590
625	59425	35503
626	59536	35418
627	59629	35322
628	59702	35214
629	59770	35103
630	59844	34996
631	59914	34886
632	59995	34783
633	60123	34708
634	60217	34613
635	60309	34516
636	60438	34441
637	60530	34344
638	60606	34239
639	60670	34127
640	60751	34024
641	60829	33920
642	60911	33818
643	60992	33716
644	61072	33613
645	61181	33526
646	61299	33444
647	61383	33344
648	61524	33274
649	61647	33194
650	61732	33094
651	61813	32992
652	61943	32916
653	62082	32844
654	62224	32774
655	62332	32686
656	62448	32602
657	62586	32529
658	62679	32433
659	62783	32342
660	62875	32246
661	62990	32161
662	63164	32106
663	63271	32017
664	63400	31938
665	63477	31834
666	63568	31736
667	63648	31633
668	63764	31548
669	63852	31449
670	63969	31365
671	64053	31264
672	64169	31179
673	64249	31076
674	64387	31001
675	64570	30948
676	64662	30850
677	64757	30754
678	64932	30696
679	65002	30589
680	65079	30485
681	65172	30388
682	65261	30289
683	65433	30229
684	65518	30128
685	65600	30026
686	65718	29941
687	65862	29867
688	65948	29767
689	66047	29673
690	66182	29595
691	66265	29493
692	66349	29392
693	66435	29292
694	66516	29190
695	66608	29093
696	66752	29018
697	66880	28936
698	67032	28865
699	67110	28761
700	67200	28663
701	67369	28598
702	67514	28523
703	67626	28434
704	67760	28353
705	67872	28264
706	67953	28161
707	68056	28068
708	68162	27976
709	68281	27889
710	68364	27788
711	68480	27700
712	68561	27597
713	68643	27496
714	68769	27411
715	68852	27310
716	68961	27219
717	69057	27122
718	69138	27020
719	69246	26929
720	69328	26827
721	69427	26732
722	69538	26642
723	69629	26543
724	69710	26442
725	69800	26343
726	69888	26244
727	70031	26165
728	70119	26066
729	70197	25963
730	70278	25861
731	70383	25768
732	70499	25679
733	70594	25583
734	70675	25481
735	70773	25386
736	70900	25300
737	71008	25208
738	71137	25124
739	71230	25026
740	71334	24933
741	71475	24852
742	71556	24751
743	71660	24657
744	71743	24556
745	71812	24451
746	71907	24354
747	71984	24251
748	72095	24160
749	72182	24060
750	72282	23965
751	72380	23870
752	72464	23769
753	72569	23676
754	72633	23569
755	72754	23481
756	72850	23385
757	73012	23310
758	73113	23215
759	73244	23129
760	73316	23025
761	73399	22925
762	73496	22829
763	73576	22727
764	73656	22626
765	73738	22525
766	73828	22427
767	73912	22327
768	73996	22227
769	74107	22135
770	74267	22058
771	74438	21984
772	74536	21888
773	74668	21802
